1.29,12.495,0.103241297
2.295,11.706,0.196053306
3.063,9.083,0.337223384
4.058,4.112,0.986867704
4.891,34.675,0.141052632
5.737,26.422,0.217129665
7.137,13.041,0.547273982
7.832,22.62,0.346242263
9.103,27.732,0.328248954
9.885,45.692,0.216339841
11.411,59.964,0.190297512
11.895,43.35,0.274394464
12.867,57.141,0.225179818
13.633,77.273,0.176426436
14.56,85.039,0.17121556
16.369,86.708,0.188783042
16.902,109.293,0.154648514
18.466,114.118,0.161814963
19.454,117.05,0.166202478
19.918,130.86,0.152208467
21.39,139.678,0.153137932
22.411,159.317,0.140669232
23.418,174.622,0.134106814
24.417,181.855,0.134266311
